datetime,open,high,low,close
2026-04-12 00:45:00,2.00864,2.00871,2.00863,2.00864
2026-04-12 00:30:00,2.00864,2.00877,2.00861,2.00868
2026-04-12 00:15:00,2.00872,2.00874,2.00861,2.00867
2026-04-12 00:00:00,2.00864,2.00879,2.0086,2.00872
2026-04-11 23:45:00,2.00864,2.00892,2.00863,2.00863
2026-04-11 23:30:00,2.00865,2.00874,2.00861,2.00868
2026-04-11 23:15:00,2.00864,2.00883,2.00857,2.00869
2026-04-11 23:00:00,2.00869,2.00876,2.00862,2.00865
2026-04-11 22:45:00,2.00865,2.00879,2.00862,2.00868
2026-04-11 22:30:00,2.00864,2.00876,2.00862,2.00867
2026-04-11 22:15:00,2.00865,2.00873,2.00861,2.00868
2026-04-11 22:00:00,2.00865,2.00877,2.00862,2.00866
2026-04-11 21:45:00,2.0087,2.00875,2.00863,2.00863
2026-04-11 21:30:00,2.00738,2.0089,2.00738,2.00872
2026-04-11 21:15:00,2.00749,2.00773,2.00745,2.00752
2026-04-11 21:00:00,2.00749,2.00779,2.00746,2.00751
2026-04-11 20:45:00,2.00749,2.00775,2.00746,2.00747
2026-04-11 20:30:00,2.00755,2.00763,2.00746,2.00751
2026-04-11 20:15:00,2.00749,2.00797,2.00745,2.00759
2026-04-11 20:00:00,2.00748,2.00809,2.00743,2.00752
2026-04-11 19:45:00,2.0075,2.00758,2.00708,2.00747
2026-04-11 19:30:00,2.00761,2.00773,2.00745,2.0075
2026-04-11 19:15:00,2.00757,2.00781,2.00744,2.00764
2026-04-11 19:00:00,2.00748,2.00821,2.00745,2.00759
2026-04-11 18:45:00,2.00749,2.00794,2.00745,2.00747
2026-04-11 18:30:00,2.00748,2.00758,2.00745,2.00748
2026-04-11 18:15:00,2.0075,2.00806,2.00738,2.00752
2026-04-11 18:00:00,2.00755,2.00762,2.00747,2.00753
2026-04-11 17:45:00,2.00749,2.00775,2.00746,2.00754
2026-04-11 17:30:00,2.00749,2.00809,2.00748,2.00748
2026-04-11 17:15:00,2.0075,2.00759,2.00746,2.00752
2026-04-11 17:00:00,2.00749,2.0079,2.00746,2.00754
2026-04-11 16:45:00,2.00762,2.00827,2.00746,2.0075
2026-04-11 16:30:00,2.00748,2.00809,2.00735,2.00763
2026-04-11 16:15:00,2.00749,2.00794,2.00746,2.0075
2026-04-11 16:00:00,2.00749,2.00757,2.00746,2.00754
2026-04-11 15:45:00,2.00749,2.00773,2.00746,2.0075
2026-04-11 15:30:00,2.00752,2.00758,2.00746,2.00748
2026-04-11 15:15:00,2.00749,2.00773,2.00745,2.00753
2026-04-11 15:00:00,2.00747,2.00863,2.00746,2.00754
2026-04-11 14:45:00,2.00762,2.00769,2.00747,2.0075
2026-04-11 14:30:00,2.00766,2.008,2.0075,2.00762
2026-04-11 14:15:00,2.00767,2.00883,2.00743,2.00766
2026-04-11 14:00:00,2.00757,2.00786,2.00751,2.00771
2026-04-11 13:45:00,2.00763,2.00789,2.0075,2.0076
2026-04-11 13:30:00,2.00758,2.00772,2.00751,2.00762
2026-04-11 13:15:00,2.0085,2.00871,2.00752,2.00757
2026-04-11 13:00:00,2.0076,2.00888,2.0076,2.00851
2026-04-11 12:45:00,2.00764,2.00791,2.00751,2.00773
2026-04-11 12:30:00,2.00759,2.00788,2.00754,2.00764
2026-04-11 12:15:00,2.00765,2.00816,2.0075,2.00758
2026-04-11 12:00:00,2.00755,2.00795,2.00751,2.00768
2026-04-11 11:45:00,2.00771,2.00777,2.00751,2.0076
2026-04-11 11:30:00,2.00759,2.00867,2.00753,2.00771
2026-04-11 11:15:00,2.00763,2.00788,2.00751,2.00756
2026-04-11 11:00:00,2.00756,2.00789,2.0075,2.00766
2026-04-11 10:45:00,2.00763,2.00786,2.0075,2.00762
2026-04-11 10:30:00,2.0076,2.00773,2.00751,2.00763
2026-04-11 10:15:00,2.00773,2.00807,2.0075,2.00757
2026-04-11 10:00:00,2.00926,2.00933,2.00772,2.00776
2026-04-11 09:45:00,2.0092,2.00932,2.00834,2.00929
2026-04-11 09:30:00,2.0094,2.00957,2.009,2.00922
2026-04-11 09:15:00,2.00937,2.00949,2.00932,2.00939
2026-04-11 09:00:00,2.00939,2.00962,2.00884,2.00938
2026-04-11 08:45:00,2.00933,2.01015,2.00922,2.00943
2026-04-11 08:30:00,2.00938,2.00947,2.00929,2.00936
2026-04-11 08:15:00,2.00934,2.00947,2.0093,2.00937
2026-04-11 08:00:00,2.00934,2.01006,2.00859,2.00934
2026-04-11 07:45:00,2.00946,2.01037,2.00875,2.00936
2026-04-11 07:30:00,2.00926,2.01019,2.00879,2.00943
2026-04-11 07:15:00,2.00897,2.01023,2.00869,2.00927
2026-04-11 07:00:00,2.00884,2.01001,2.00817,2.00894
2026-04-11 06:45:00,2.00735,2.00907,2.00726,2.00885
2026-04-11 06:30:00,2.00688,2.00743,2.00686,2.0074
2026-04-11 06:15:00,2.00722,2.00725,2.00681,2.00687
2026-04-11 06:00:00,2.00702,2.00746,2.00684,2.00722
2026-04-11 05:45:00,2.0072,2.00726,2.00667,2.00705
2026-04-11 05:30:00,2.00737,2.0076,2.00705,2.00722
2026-04-11 05:15:00,2.00701,2.00761,2.00688,2.00737
2026-04-11 05:00:00,2.0072,2.00733,2.0069,2.00699
2026-04-11 04:45:00,2.00689,2.00723,2.0065,2.00723
2026-04-11 04:30:00,2.0068,2.00701,2.00651,2.00695
2026-04-11 04:15:00,2.00755,2.00764,2.00666,2.00681
2026-04-11 04:00:00,2.00723,2.00815,2.00722,2.00756
2026-04-11 03:45:00,2.00716,2.00737,2.00689,2.00724
2026-04-11 03:30:00,2.00778,2.00782,2.00704,2.00722
2026-04-11 03:15:00,2.00775,2.0079,2.00753,2.00779
2026-04-11 03:00:00,2.00755,2.00825,2.00745,2.00773
2026-04-11 02:45:00,2.00774,2.00813,2.00703,2.00756
2026-04-11 02:30:00,2.00696,2.00787,2.00675,2.00781
2026-04-11 02:15:00,2.0074,2.00764,2.00679,2.007
2026-04-11 02:00:00,2.00675,2.00777,2.00661,2.00739
2026-04-11 01:45:00,2.00665,2.00691,2.00593,2.00677
2026-04-11 01:30:00,2.00516,2.00722,2.00507,2.00668
2026-04-11 01:15:00,2.0041,2.00528,2.00383,2.00523
2026-04-11 01:00:00,2.00411,2.00473,2.0036,2.00408
2026-04-11 00:45:00,2.00144,2.00435,2.001,2.0041
2026-04-11 00:30:00,2.00067,2.00199,2.00023,2.00149
2026-04-11 00:15:00,2.00191,2.00234,2.00005,2.00069
2026-04-11 00:00:00,2.00312,2.00354,2.00185,2.00191
2026-04-10 23:45:00,2.00227,2.00347,2.00196,2.00308
2026-04-10 23:30:00,2.00186,2.00235,2.00066,2.0023
2026-04-10 23:15:00,2.00314,2.00324,2.00175,2.00187
