datetime,open,high,low,close
2026-04-12 00:30:00,92.96528,92.96925,92.96403,92.96833
2026-04-12 00:00:00,92.96312,92.96932,92.96167,92.96522
2026-04-11 23:30:00,92.94846,92.96543,92.94743,92.96473
2026-04-11 23:00:00,92.95326,92.95934,92.93916,92.94812
2026-04-11 22:30:00,92.94234,92.95508,92.94116,92.95508
2026-04-11 22:00:00,92.93402,92.95021,92.93309,92.94185
2026-04-11 21:30:00,92.92347,92.93785,92.91708,92.93606
2026-04-11 21:00:00,92.92424,92.94348,92.91865,92.92296
2026-04-11 20:30:00,92.92875,92.93263,92.92152,92.92606
2026-04-11 20:00:00,92.9235,92.95222,92.91722,92.92866
2026-04-11 19:30:00,92.92277,92.94401,92.92129,92.92586
2026-04-11 19:00:00,92.92433,92.93316,92.92108,92.92222
2026-04-11 18:30:00,92.92519,92.93345,92.92095,92.92625
2026-04-11 18:00:00,92.92884,92.93437,92.92041,92.92483
2026-04-11 17:30:00,92.92393,92.94399,92.92152,92.93044
2026-04-11 17:00:00,92.92404,92.94489,92.92129,92.92371
2026-04-11 16:30:00,92.92338,92.93689,92.91708,92.92554
2026-04-11 16:00:00,92.9241,92.94751,92.92174,92.9234
2026-04-11 15:30:00,92.92703,92.93997,92.92071,92.92534
2026-04-11 15:00:00,92.92634,92.94339,92.92149,92.92725
2026-04-11 14:30:00,92.92431,92.95837,92.91214,92.92614
2026-04-11 14:00:00,92.91877,92.99359,92.91239,92.9245
2026-04-11 13:30:00,92.92084,92.93471,92.91225,92.91966
2026-04-11 13:00:00,92.91909,92.94282,92.90577,92.92131
2026-04-11 12:30:00,92.91978,92.93628,92.91174,92.92042
2026-04-11 12:00:00,92.9194,92.94108,92.91121,92.92075
2026-04-11 11:30:00,92.92048,92.9307,92.91217,92.91974
2026-04-11 11:00:00,92.91949,92.93942,92.91369,92.92155
2026-04-11 10:30:00,92.92201,92.93722,92.91237,92.91963
2026-04-11 10:00:00,92.91937,92.93762,92.90354,92.92312
2026-04-11 09:30:00,92.9213,92.94431,92.90842,92.91976
2026-04-11 09:00:00,92.91955,92.94316,92.90454,92.92246
2026-04-11 08:30:00,92.92116,92.92672,92.90908,92.91966
2026-04-11 08:00:00,92.93393,92.94639,92.90981,92.92245
2026-04-11 07:30:00,92.9295,92.954,92.89948,92.93279
2026-04-11 07:00:00,92.98549,93.00187,92.91071,92.93225
2026-04-11 06:30:00,93.10569,93.10831,92.97492,92.9843
2026-04-11 06:00:00,93.09229,93.11527,93.07445,93.10724
2026-04-11 05:30:00,93.07151,93.10578,93.0596,93.09223
2026-04-11 05:00:00,93.09298,93.10835,93.06953,93.07298
2026-04-11 04:30:00,93.10057,93.13478,93.08174,93.09346
2026-04-11 04:00:00,93.03741,93.10651,92.99016,93.1016
2026-04-11 03:30:00,92.98891,93.05209,92.9862,93.03777
2026-04-11 03:00:00,92.99144,93.01528,92.97872,92.98933
2026-04-11 02:30:00,93.02572,93.03355,92.95353,92.9921
2026-04-11 02:00:00,93.02047,93.04853,92.99505,93.027
2026-04-11 01:30:00,93.11014,93.11989,93.01404,93.02105
2026-04-11 01:00:00,93.14351,93.15668,93.06863,93.11218
2026-04-11 00:30:00,93.33827,93.3598,93.13837,93.142
2026-04-11 00:00:00,93.20204,93.37667,93.18807,93.33637
2026-04-10 23:30:00,93.25733,93.29611,93.17363,93.20272
2026-04-10 23:00:00,93.1371,93.25438,93.12449,93.25438
2026-04-10 22:30:00,93.09252,93.14682,93.0521,93.13887
2026-04-10 22:00:00,93.062,93.099,93.04671,93.09119
2026-04-10 21:30:00,93.04737,93.07262,93.01146,93.06548
2026-04-10 21:00:00,93.01789,93.06992,93.00906,93.0466
2026-04-10 20:30:00,93.04527,93.0489,93.01054,93.0195
2026-04-10 20:00:00,93.04761,93.06982,93.01027,93.04479
2026-04-10 19:30:00,93.00467,93.0604,92.956,93.04898
2026-04-10 19:00:00,92.97619,93.04029,92.93029,93.00424
2026-04-10 18:30:00,93.00032,93.04839,92.96468,92.97776
2026-04-10 18:00:00,92.994,93.03216,92.93694,92.99969
2026-04-10 17:30:00,93.04051,93.05337,92.99509,92.99509
2026-04-10 17:00:00,93.04066,93.09338,93.02369,93.04046
2026-04-10 16:30:00,93.13759,93.1484,93.02329,93.04185
2026-04-10 16:00:00,93.1152,93.18855,93.11021,93.1375
2026-04-10 15:30:00,93.09603,93.12719,93.07659,93.11537
2026-04-10 15:00:00,93.07726,93.10041,93.05927,93.0963
2026-04-10 14:30:00,93.08717,93.12082,93.06767,93.07757
2026-04-10 14:00:00,93.12795,93.1461,93.08685,93.08685
2026-04-10 13:30:00,93.09251,93.1574,93.08322,93.12929
2026-04-10 13:00:00,93.06208,93.11005,93.03925,93.0947
2026-04-10 12:30:00,93.05083,93.0727,93.03655,93.0618
2026-04-10 12:00:00,93.08994,93.11657,93.05355,93.05355
2026-04-10 11:30:00,93.11534,93.13894,93.08634,93.0918
2026-04-10 11:00:00,93.119,93.14605,93.10389,93.11712
2026-04-10 10:30:00,93.11327,93.17751,93.08691,93.11632
2026-04-10 10:00:00,93.08458,93.12817,93.07505,93.11313
2026-04-10 09:30:00,93.13555,93.15631,93.07788,93.08169
2026-04-10 09:00:00,93.15153,93.16866,93.12583,93.13825
2026-04-10 08:30:00,93.15511,93.16089,93.09379,93.15124
2026-04-10 08:00:00,93.23365,93.23987,93.12398,93.15648
2026-04-10 07:30:00,93.23105,93.24308,93.10538,93.23482
2026-04-10 07:00:00,93.16952,93.24228,93.09957,93.23295
2026-04-10 06:30:00,93.21071,93.22386,93.15768,93.1696
2026-04-10 06:00:00,93.2267,93.24213,93.1861,93.21218
2026-04-10 05:30:00,93.17249,93.24119,93.14897,93.22703
2026-04-10 05:00:00,93.10798,93.18427,93.10535,93.17426
2026-04-10 04:30:00,93.08454,93.13338,93.07943,93.1088
2026-04-10 04:00:00,93.17379,93.18981,93.08167,93.08534
2026-04-10 03:30:00,93.19281,93.21281,93.16756,93.17437
2026-04-10 03:00:00,93.14409,93.22162,93.13964,93.19153
2026-04-10 02:30:00,93.17461,93.19062,93.13581,93.14548
2026-04-10 02:00:00,93.23404,93.24456,93.16043,93.17398
2026-04-10 01:30:00,93.13602,93.24295,93.12077,93.23466
2026-04-10 01:00:00,93.08501,93.22301,93.03563,93.1364
2026-04-10 00:30:00,93.07775,93.12077,93.01431,93.08447
2026-04-10 00:00:00,92.97374,93.07562,92.96188,93.07562
2026-04-09 23:30:00,92.88351,92.9833,92.86607,92.97516
2026-04-09 23:00:00,92.79565,92.88264,92.79287,92.88264
2026-04-09 22:30:00,92.80899,92.82518,92.76636,92.79816
2026-04-09 22:00:00,92.77526,92.81705,92.75682,92.80893
2026-04-09 21:30:00,92.7518,92.80939,92.74641,92.77741
2026-04-09 21:00:00,92.75829,92.76276,92.72462,92.7505
2026-04-09 20:30:00,92.77515,92.78225,92.75009,92.75896
2026-04-09 20:00:00,92.7306,92.78302,92.72315,92.77419
2026-04-09 19:30:00,92.73014,92.74605,92.71465,92.73337
2026-04-09 19:00:00,92.7079,92.7402,92.66821,92.72932
2026-04-09 18:30:00,92.7026,92.72866,92.69019,92.70894
2026-04-09 18:00:00,92.69462,92.72567,92.67039,92.70191
2026-04-09 17:30:00,92.69783,92.73388,92.66234,92.69646
2026-04-09 17:00:00,92.67126,92.74231,92.66442,92.69719
2026-04-09 16:30:00,92.65269,92.67455,92.60391,92.67305
2026-04-09 16:00:00,92.59769,92.65813,92.59516,92.6526
2026-04-09 15:30:00,92.6404,92.65528,92.58277,92.59875
2026-04-09 15:00:00,92.60551,92.6754,92.60093,92.64062
2026-04-09 14:30:00,92.62011,92.64206,92.59768,92.60659
2026-04-09 14:00:00,92.59684,92.62078,92.57849,92.62048
2026-04-09 13:30:00,92.5505,92.642,92.5395,92.59793
2026-04-09 13:00:00,92.58076,92.5946,92.51477,92.5517
2026-04-09 12:30:00,92.57475,92.60462,92.54284,92.58252
2026-04-09 12:00:00,92.57563,92.58233,92.51229,92.57606
2026-04-09 11:30:00,92.56334,92.6344,92.55097,92.57526
2026-04-09 11:00:00,92.53404,92.57482,92.4959,92.56505
