datetime,open,high,low,close
2026-04-12 00:30:00,1.65869,1.65896,1.65866,1.65868
2026-04-12 00:00:00,1.65871,1.65919,1.65865,1.65871
2026-04-11 23:30:00,1.65872,1.65921,1.65866,1.65871
2026-04-11 23:00:00,1.6588,1.65926,1.65858,1.65874
2026-04-11 22:30:00,1.65866,1.65905,1.65864,1.65881
2026-04-11 22:00:00,1.65866,1.6589,1.65864,1.6587
2026-04-11 21:30:00,1.65859,1.65967,1.65824,1.65866
2026-04-11 21:00:00,1.65857,1.6588,1.6584,1.65862
2026-04-11 20:30:00,1.65866,1.65876,1.6584,1.65858
2026-04-11 20:00:00,1.65857,1.65923,1.6584,1.65868
2026-04-11 19:30:00,1.65852,1.65879,1.6583,1.65857
2026-04-11 19:00:00,1.65859,1.65895,1.65814,1.65855
2026-04-11 18:30:00,1.6586,1.65912,1.65824,1.65859
2026-04-11 18:00:00,1.65864,1.65909,1.6584,1.65862
2026-04-11 17:30:00,1.65854,1.65892,1.65827,1.65864
2026-04-11 17:00:00,1.65853,1.6591,1.65829,1.65857
2026-04-11 16:30:00,1.65831,1.65902,1.65816,1.65853
2026-04-11 16:00:00,1.65854,1.65879,1.65826,1.65834
2026-04-11 15:30:00,1.65837,1.65878,1.65828,1.65853
2026-04-11 15:00:00,1.65831,1.65935,1.65827,1.65839
2026-04-11 14:30:00,1.65836,1.65871,1.65828,1.65832
2026-04-11 14:00:00,1.65831,1.65888,1.65797,1.65838
2026-04-11 13:30:00,1.6583,1.65862,1.65828,1.65832
2026-04-11 13:00:00,1.6583,1.65953,1.65821,1.65831
2026-04-11 12:30:00,1.65832,1.65863,1.65827,1.65838
2026-04-11 12:00:00,1.65832,1.65859,1.65812,1.65832
2026-04-11 11:30:00,1.65831,1.65954,1.65824,1.65834
2026-04-11 11:00:00,1.65831,1.6586,1.65828,1.65831
2026-04-11 10:30:00,1.65831,1.65851,1.65827,1.65834
2026-04-11 10:00:00,1.65952,1.65959,1.65825,1.65831
2026-04-11 09:30:00,1.65954,1.65971,1.65854,1.65956
2026-04-11 09:00:00,1.65954,1.65987,1.659,1.65953
2026-04-11 08:30:00,1.65954,1.66047,1.65912,1.65958
2026-04-11 08:00:00,1.65956,1.66038,1.65869,1.65953
2026-04-11 07:30:00,1.65953,1.66069,1.65926,1.65958
2026-04-11 07:00:00,1.66009,1.66086,1.65876,1.65954
2026-04-11 06:30:00,1.65739,1.6601,1.65737,1.66004
2026-04-11 06:00:00,1.65703,1.65755,1.65694,1.65737
2026-04-11 05:30:00,1.65702,1.65719,1.65687,1.65707
2026-04-11 05:00:00,1.6572,1.6573,1.65676,1.65702
2026-04-11 04:30:00,1.65712,1.65736,1.65695,1.65723
2026-04-11 04:00:00,1.65718,1.65765,1.65694,1.65712
2026-04-11 03:30:00,1.65759,1.6577,1.65681,1.6572
2026-04-11 03:00:00,1.65743,1.65824,1.6573,1.6576
2026-04-11 02:30:00,1.65713,1.65793,1.65679,1.65744
2026-04-11 02:00:00,1.65663,1.65738,1.65649,1.65715
2026-04-11 01:30:00,1.6566,1.65741,1.65628,1.65665
2026-04-11 01:00:00,1.65567,1.65683,1.65562,1.65662
2026-04-11 00:30:00,1.65514,1.65577,1.65466,1.65564
2026-04-11 00:00:00,1.65684,1.65751,1.65474,1.65512
2026-04-10 23:30:00,1.65576,1.65755,1.6554,1.6568
2026-04-10 23:00:00,1.6563,1.65659,1.65496,1.65578
2026-04-10 22:30:00,1.65561,1.65639,1.65485,1.65628
2026-04-10 22:00:00,1.65655,1.65661,1.65532,1.65563
2026-04-10 21:30:00,1.65673,1.65726,1.65654,1.65655
2026-04-10 21:00:00,1.65717,1.65782,1.65655,1.65678
2026-04-10 20:30:00,1.65746,1.65789,1.65701,1.65716
2026-04-10 20:00:00,1.65691,1.65772,1.65661,1.65748
2026-04-10 19:30:00,1.65584,1.65722,1.65583,1.65689
2026-04-10 19:00:00,1.65556,1.65681,1.65416,1.65588
2026-04-10 18:30:00,1.65474,1.65563,1.6545,1.65554
2026-04-10 18:00:00,1.65562,1.65587,1.65466,1.65477
2026-04-10 17:30:00,1.65457,1.65566,1.65439,1.65562
2026-04-10 17:00:00,1.65443,1.65525,1.65414,1.6546
2026-04-10 16:30:00,1.65401,1.65515,1.65379,1.65443
2026-04-10 16:00:00,1.65336,1.65438,1.65311,1.65404
2026-04-10 15:30:00,1.65393,1.65411,1.65335,1.65336
2026-04-10 15:00:00,1.65443,1.65464,1.65389,1.65394
2026-04-10 14:30:00,1.65472,1.65503,1.65396,1.65443
2026-04-10 14:00:00,1.65432,1.65486,1.65399,1.65472
2026-04-10 13:30:00,1.65404,1.65443,1.65365,1.65432
2026-04-10 13:00:00,1.65381,1.6543,1.65349,1.65405
2026-04-10 12:30:00,1.65327,1.65387,1.65301,1.65383
2026-04-10 12:00:00,1.65233,1.65332,1.652,1.65327
2026-04-10 11:30:00,1.65185,1.65247,1.65069,1.65237
2026-04-10 11:00:00,1.65191,1.65252,1.65175,1.65185
2026-04-10 10:30:00,1.65279,1.65289,1.65187,1.65194
2026-04-10 10:00:00,1.65244,1.65311,1.65219,1.65278
2026-04-10 09:30:00,1.65222,1.65253,1.65187,1.65249
2026-04-10 09:00:00,1.65174,1.65295,1.65172,1.65222
2026-04-10 08:30:00,1.65205,1.65234,1.65161,1.65179
2026-04-10 08:00:00,1.65215,1.65241,1.65142,1.65201
2026-04-10 07:30:00,1.65079,1.65262,1.65076,1.65217
2026-04-10 07:00:00,1.65155,1.65362,1.65066,1.65076
2026-04-10 06:30:00,1.65112,1.65168,1.65099,1.65161
2026-04-10 06:00:00,1.65153,1.65165,1.65104,1.65111
2026-04-10 05:30:00,1.65238,1.65264,1.65148,1.65156
2026-04-10 05:00:00,1.65273,1.65323,1.65231,1.65237
2026-04-10 04:30:00,1.65344,1.65377,1.65266,1.65276
2026-04-10 04:00:00,1.65219,1.65349,1.65213,1.65344
2026-04-10 03:30:00,1.65267,1.65296,1.65199,1.65221
2026-04-10 03:00:00,1.65272,1.65346,1.65231,1.65267
2026-04-10 02:30:00,1.65185,1.65275,1.65149,1.65273
2026-04-10 02:00:00,1.65226,1.65266,1.65107,1.65185
2026-04-10 01:30:00,1.655,1.65546,1.65215,1.65229
2026-04-10 01:00:00,1.65493,1.65581,1.65401,1.65504
2026-04-10 00:30:00,1.65639,1.65669,1.65441,1.65491
2026-04-10 00:00:00,1.6567,1.65705,1.6556,1.65637
2026-04-09 23:30:00,1.659,1.65906,1.65628,1.6567
2026-04-09 23:00:00,1.65974,1.65988,1.65869,1.659
2026-04-09 22:30:00,1.65954,1.66042,1.6592,1.65977
2026-04-09 22:00:00,1.659,1.65968,1.65877,1.65955
2026-04-09 21:30:00,1.65987,1.65998,1.65887,1.65899
2026-04-09 21:00:00,1.66028,1.66059,1.65972,1.65989
2026-04-09 20:30:00,1.66069,1.66082,1.66022,1.66028
2026-04-09 20:00:00,1.65993,1.66077,1.65983,1.66073
2026-04-09 19:30:00,1.66123,1.66135,1.65983,1.65989
2026-04-09 19:00:00,1.66085,1.66161,1.66053,1.66126
2026-04-09 18:30:00,1.6605,1.66097,1.65981,1.6608
2026-04-09 18:00:00,1.65926,1.66076,1.65903,1.66052
2026-04-09 17:30:00,1.65843,1.65926,1.65773,1.65926
2026-04-09 17:00:00,1.65678,1.65878,1.65664,1.65846
2026-04-09 16:30:00,1.65714,1.65764,1.65672,1.65677
2026-04-09 16:00:00,1.65772,1.65804,1.65703,1.65716
2026-04-09 15:30:00,1.65629,1.65786,1.65619,1.65772
2026-04-09 15:00:00,1.65707,1.65716,1.65599,1.6563
2026-04-09 14:30:00,1.65605,1.65716,1.65598,1.65708
2026-04-09 14:00:00,1.65642,1.65678,1.65603,1.65605
2026-04-09 13:30:00,1.65718,1.65743,1.65632,1.65645
2026-04-09 13:00:00,1.65725,1.65783,1.65706,1.65719
2026-04-09 12:30:00,1.65767,1.65785,1.65694,1.6573
2026-04-09 12:00:00,1.658,1.6587,1.65758,1.65765
2026-04-09 11:30:00,1.65844,1.65855,1.65717,1.65801
2026-04-09 11:00:00,1.65687,1.65854,1.6567,1.65843
2026-04-09 10:30:00,1.65719,1.65737,1.65634,1.6569
2026-04-09 10:00:00,1.65622,1.65797,1.65612,1.65716
2026-04-09 09:30:00,1.65577,1.65638,1.65527,1.65628
2026-04-09 09:00:00,1.65509,1.65585,1.65482,1.65574
2026-04-09 08:30:00,1.65552,1.65561,1.655,1.65512
2026-04-09 08:00:00,1.65544,1.65586,1.65533,1.65552
2026-04-09 07:30:00,1.65621,1.65641,1.65526,1.65548
2026-04-09 07:00:00,1.65569,1.65628,1.65474,1.65619
