datetime,open,high,low,close
2026-04-12 00:00:00,2.00864,2.00879,2.0086,2.0087
2026-04-11 23:00:00,2.00869,2.00892,2.00857,2.00863
2026-04-11 22:00:00,2.00865,2.00879,2.00861,2.00868
2026-04-11 21:00:00,2.00749,2.0089,2.00738,2.00863
2026-04-11 20:00:00,2.00748,2.00809,2.00743,2.00747
2026-04-11 19:00:00,2.00748,2.00821,2.00708,2.00747
2026-04-11 18:00:00,2.00755,2.00806,2.00738,2.00747
2026-04-11 17:00:00,2.00749,2.00809,2.00746,2.00754
2026-04-11 16:00:00,2.00749,2.00827,2.00735,2.0075
2026-04-11 15:00:00,2.00747,2.00863,2.00745,2.0075
2026-04-11 14:00:00,2.00757,2.00883,2.00743,2.0075
2026-04-11 13:00:00,2.0076,2.00888,2.0075,2.0076
2026-04-11 12:00:00,2.00755,2.00816,2.0075,2.00773
2026-04-11 11:00:00,2.00756,2.00867,2.0075,2.0076
2026-04-11 10:00:00,2.00926,2.00933,2.0075,2.00762
2026-04-11 09:00:00,2.00939,2.00962,2.00834,2.00929
2026-04-11 08:00:00,2.00934,2.01015,2.00859,2.00943
2026-04-11 07:00:00,2.00884,2.01037,2.00817,2.00936
2026-04-11 06:00:00,2.00702,2.00907,2.00681,2.00885
2026-04-11 05:00:00,2.0072,2.00761,2.00667,2.00705
2026-04-11 04:00:00,2.00723,2.00815,2.0065,2.00723
2026-04-11 03:00:00,2.00755,2.00825,2.00689,2.00724
2026-04-11 02:00:00,2.00675,2.00813,2.00661,2.00756
2026-04-11 01:00:00,2.00411,2.00722,2.0036,2.00677
2026-04-11 00:00:00,2.00312,2.00435,2.00005,2.0041
2026-04-10 23:00:00,2.00298,2.00347,2.00066,2.00308
2026-04-10 22:00:00,2.00374,2.00391,2.00129,2.00295
2026-04-10 21:00:00,2.00481,2.00557,2.00369,2.00377
2026-04-10 20:00:00,2.00425,2.00521,2.00371,2.00479
2026-04-10 19:00:00,2.00251,2.00444,2.00131,2.00422
2026-04-10 18:00:00,2.0014,2.00251,2.00056,2.00249
2026-04-10 17:00:00,2.00038,2.0014,1.99966,2.0014
2026-04-10 16:00:00,1.99951,2.0011,1.998,2.00038
2026-04-10 15:00:00,1.99966,2.00005,1.99907,1.9995
2026-04-10 14:00:00,1.99876,2.00009,1.99835,1.99969
2026-04-10 13:00:00,1.99954,1.99992,1.99802,1.99879
2026-04-10 12:00:00,1.99766,1.99967,1.99745,1.99956
2026-04-10 11:00:00,1.99801,1.99845,1.99709,1.99773
2026-04-10 10:00:00,1.99844,1.99913,1.99729,1.99806
2026-04-10 09:00:00,1.99719,1.99858,1.99692,1.99844
2026-04-10 08:00:00,1.99555,1.99826,1.99551,1.99723
2026-04-10 07:00:00,1.99648,1.99773,1.99474,1.99564
2026-04-10 06:00:00,1.99669,1.99698,1.99582,1.99653
2026-04-10 05:00:00,1.99802,1.99851,1.99669,1.99672
2026-04-10 04:00:00,1.99614,1.99844,1.99599,1.99805
2026-04-10 03:00:00,1.99607,1.99669,1.99481,1.99615
2026-04-10 02:00:00,1.99465,1.99611,1.99405,1.99608
2026-04-10 01:00:00,1.9985,1.99939,1.99442,1.99466
2026-04-10 00:00:00,1.99892,1.99924,1.99667,1.99847
2026-04-09 23:00:00,2.00246,2.00255,1.99864,1.99889
2026-04-09 22:00:00,2.00186,2.00338,2.00133,2.00248
2026-04-09 21:00:00,2.002,2.0025,2.00071,2.00185
2026-04-09 20:00:00,2.00159,2.00229,2.00125,2.00201
